tag,setting,n_folds,epochs,F1-macro,F1-macro_std,Accuracy,Precision-macro,Recall-macro,per_fold_f1
gpt2_finetuned,fine-tuned,5,3,0.7724337665187139,0.015922661358448182,0.8125327465157707,0.7474594168392147,0.8170880956546523,"[0.7495222871864854, 0.781668882864575, 0.7727881343824262, 0.7964618012891392, 0.7634582779813734]"
gpt2_fewshot,few-shot,1,0,0.2551440329218107,0.0,0.2551440329218107,0.2551440329218107,0.2551440329218107,[]
