Model,F1-macro,F1-macro_std,F1-weighted,Accuracy,Precision-macro,Recall-macro,Train_F1-macro,Overfit_gap,Time_s
Stacking-6 (LR meta) | +fine-tuned,0.848290001034632,0.007289943989296884,0.8794462053819073,0.877083010741352,0.8270520130098905,0.8757300792666761,0.8497573610808061,0.0014673600461740932,0.20747852325439453
Soft-Average | 6 base learners,0.8411543080771896,0.0,0.8785416514817161,0.8800167662160746,0.8565552194082352,0.8275595336819506,,,0.0
Fine-tuned RoBERTa (standalone),0.8399177266142361,0.006204417610338645,0.8715148849538564,0.8691187257675783,0.8187517883426333,0.8671440382803567,,,0.0
Stacking-5 (LR meta) | frozen only,0.8268779150537092,0.008619769985196864,0.8659507012931128,0.8638787581279452,0.8122389626691129,0.8446904248093776,0.8286150816910214,0.0017371666373121597,3.407783031463623
