Config,F1-macro,Std
raw (no preprocessing),0.718338519697367,0.0053458283087025
clean + stopwords + stemming,0.7118454561030795,0.0088682277751531
clean + stopwords + lemmatization,0.7085590360818769,0.0042338051838078
clean only,0.7024242646615837,0.0112954306331765
raw + fix_text (ftfy),0.7186,
