,Model,F1-macro,F1-macro_std,F1-weighted,Accuracy,Precision-macro,Recall-macro,Train_F1-macro,Overfit_gap,Time_s,note
40,"MLP (256,128) | GloVe-Twitter",0.6176694205431613,0.007011592692054968,0.7284990712055717,0.750287669683382,0.6928631230629166,0.5863235659870472,0.7800787823550641,0.1624093618119028,14.638877391815186,
41,"MLP (256,128) | W2V-SG",0.6164313635311146,0.016855851709443426,0.735588971479285,0.7517540218297307,0.6608979617093308,0.5984942248425857,0.7409682989161681,0.1245369353850535,12.219468116760254,
42,XGBoost 100 | W2V-SG,0.611791463308954,0.012173297472690523,0.73495328212807,0.758460530665182,0.6819513801827112,0.5847164105585686,0.9397233290831277,0.32793186577417377,19.238925457000732,
43,LightGBM 100 | GloVe-Twitter,0.6030450205628398,0.01090627712720426,0.7139555297769309,0.7232517161893405,0.6242440382610136,0.5891722515471401,0.8586368461672542,0.2555918256044144,10.437541484832764,
44,LightGBM 300 | GloVe-Twitter,0.6030048038592972,0.006359327616954228,0.7155555524979281,0.7281770231047241,0.6333992073665736,0.5848422697011944,0.8650770398660228,0.2620722360067256,29.657010793685913,
45,KNN k=5 | W2V-SG,0.5969827322202924,0.011426756530521942,0.7177911352935983,0.7242991105795894,0.6077915585862343,0.5888544849715767,0.7234403169253102,0.12645758470501778,5.449940204620361,
46,XGBoost 300 | GloVe-Twitter,0.5907454292078789,0.006613892409863974,0.7143523499411331,0.7447341457709427,0.6953321799028457,0.5563150378876378,0.8790337154672485,0.28828828625936964,52.325069427490234,
47,XGBoost 100 | GloVe-Twitter,0.5834716172070455,0.012252122124154587,0.7106637875308724,0.7423231344848906,0.6875142089422078,0.5503846741908485,0.8725736233232926,0.28910200611624703,25.77374815940857,
48,RF 300 | W2V-SG,0.5822894901203636,0.014150435467957568,0.7154487753809121,0.7511269030181431,0.7104872215438495,0.5494599387341809,0.999273529123595,0.41698403900323144,40.566166400909424,
49,RF 100 | W2V-SG,0.5788614217308955,0.008897340983644853,0.712987642357873,0.7481921670823299,0.6974435870570608,0.5472869382905842,0.9992734775288177,0.4204120557979222,13.591036081314087,
50,KNN k=15 | W2V-SG,0.5751322190030208,0.010839755350045426,0.7099461307765738,0.7334168503381863,0.6240616960851978,0.5539302872602863,0.6270639835124392,0.05193176450941839,5.609604835510254,
51,RF 100 | SBERT,0.5722628521481217,0.01684756517276777,0.6994167933255993,0.7463065277242411,0.8569116612124373,0.5246558466171125,1.0,0.42773714785187833,25.016626596450806,
52,LightGBM 300 | W2V-CBOW,0.5705430682054489,0.0038523414973942096,0.6986863139979285,0.7071138807348618,0.5821865510821119,0.5630984554274309,0.987760208774367,0.4172171405689181,29.327719688415527,
53,KNN k=5 | GloVe-Twitter,0.5694949468228636,0.01125419985222789,0.6943112784728095,0.7115179888270611,0.6036888411020878,0.5515800910894156,0.674652855482202,0.10515790865933838,7.06038236618042,
54,RF 300 | SBERT,0.5659926900865175,0.014329105686167952,0.6955656434806337,0.7440005578782178,0.8593923899512056,0.5193767951536561,1.0,0.43400730991348246,73.77059698104858,
55,LightGBM 100 | W2V-CBOW,0.5633726813087441,0.006070934132545221,0.6889333075193547,0.6905578562541115,0.5651426493757874,0.5626438398673967,0.95789031261023,0.394517631301486,10.090367078781128,
56,KNN k=15 | GloVe-Twitter,0.5522934161173622,0.007852355306917191,0.6899913103011899,0.7238819648295122,0.636932058260865,0.5254362326785366,0.5988568772761698,0.046563461158807606,7.117650270462036,
57,RF 100 | W2V-CBOW,0.544948871460498,0.00855538664894914,0.6912784045997735,0.7291215175166074,0.6449917511171832,0.5219358946551116,0.9992734775288177,0.4543246060683197,14.411245346069336,
58,RF 300 | W2V-CBOW,0.5444035499881296,0.007603185763290068,0.6912631021340985,0.7310079256045237,0.657199047455351,0.5205960989783829,0.999273529123595,0.45486997913546545,42.98362064361572,
59,XGBoost 300 | W2V-CBOW,0.5443986297428033,0.007116519705008611,0.6908109216005613,0.7248244275982794,0.6209806291870263,0.5239395232607907,0.9570692363127339,0.4126706065699306,52.57434129714966,
60,XGBoost 100 | W2V-CBOW,0.5394900288332867,0.0031993564954081012,0.6882364652722673,0.7243001538557842,0.6250134965696365,0.5196512950453418,0.8811270687380093,0.3416370399047226,17.966967582702637,
61,MultinomialNB a=1.0 | TF-IDF 2g,0.5390003732350344,0.01140422558290341,0.6845745012894653,0.737398651208608,0.8212919470414416,0.5063970854389785,0.6704735831257481,0.13147320989071376,0.0951228141784668,
62,KNN k=5 | W2V-CBOW,0.5387115923745646,0.011072635753364266,0.6749791593937198,0.6845829585775423,0.5503845003282201,0.5310380005349946,0.678564773219333,0.1398531808447684,3.420269012451172,
63,RF 300 | GloVe-Twitter,0.5224588991043888,0.008811552016544625,0.6671762617049914,0.7094205644014395,0.6388299512809554,0.4962308391979263,0.8677518105375741,0.3452929114331853,32.3411922454834,
64,RF 100 | GloVe-Twitter,0.5188887123216916,0.004858625842990783,0.665028126963749,0.7071151436481502,0.6297753444328245,0.49374549262008693,0.8672401868058202,0.3483514744841285,10.317898988723755,
65,KNN k=15 | W2V-CBOW,0.5172241030351966,0.012054241025659518,0.673858378373797,0.7090008379155122,0.5750385767803768,0.5027417501157132,0.5718615018507354,0.05463739881553875,3.394810438156128,
66,"MLP (256,128) | W2V-CBOW",0.5167722396497803,0.023887731573283277,0.6742720886499589,0.7129845606105032,0.5939298069528416,0.5045140138881204,0.5749753321948768,0.05820309254509659,10.777554273605347,
67,Stratified Baseline,0.3301249398976115,0.008795790026121431,0.4820168218846123,0.4815061174421503,0.33008776008629137,0.3301831862403641,0.33656029391129666,0.006435354013685168,0.08365178108215332,
68,Majority Baseline,0.26198502370911647,2.2236395774484385e-05,0.5088159187660498,0.6473854949466996,0.21579516498223322,0.3333333333333333,0.26198503020541136,6.496294890911969e-09,0.07813215255737305,
69,GPT-2 Decoder (few-shot),0.2551440329218107,0.0,0.2551440329218107,0.2551440329218107,0.2551440329218107,0.2551440329218107,0.2551440329218107,0.0,0.0,150 val samples
