Config,F1-macro,Std
raw (no preprocessing),0.718338519697367,0.005345828308702531
clean + stopwords + stemming,0.7118454561030795,0.008868227775153177
clean + stopwords + lemmatization,0.7085590360818769,0.004233805183807815
clean only,0.7024242646615837,0.011295430633176512
