,Model,F1-macro,F1-macro_std,F1-weighted,Accuracy,Precision-macro,Recall-macro,Train_F1-macro,Overfit_gap,Time_s
30,LR C=10.0 | TF-IDF char,0.7331049118296685,0.008970962932965303,0.8006360428008712,0.7994334461169809,0.7286548184617816,0.738241004290272,0.977080425638265,0.2439755138085965,3.196873664855957
31,LR C=1.0 | TF-IDF 2g,0.732499456134778,0.004012790168372414,0.801853492944297,0.8012153618576028,0.7307693375233422,0.7348414593373522,0.9318780644178071,0.1993786082830291,0.901216983795166
32,LR C=1.0 | TF-IDF char,0.7281075933632617,0.0049269130585615295,0.7953775132034211,0.791470064013231,0.7160025452472742,0.7434162837163483,0.8878602414149359,0.15975264805167422,2.498450756072998
33,KNN k=15 | SBERT,0.7276559978165508,0.011433722551281526,0.8012728852533938,0.808341157904794,0.7634007545694661,0.70360803219482,0.7758152077442564,0.048159209927705615,2.6573374271392822
34,LR C=10.0 | TF-IDF 1g,0.720230290167276,0.004862085249836916,0.7925983104057929,0.7920980064639196,0.7185700711253888,0.722157477647699,0.9746062586902056,0.25437596852292954,0.850985050201416
35,LR C=1.0 | TF-IDF 1g,0.7168319096385896,0.005500764613604441,0.7885441221547647,0.7852864561884398,0.7076319049306624,0.7283576105313281,0.8926695863413432,0.17583767670275363,0.5691730976104736
36,LR C=1.0 | BoW,0.7154878225454047,0.008174129032632642,0.7878299263090439,0.7857054139445394,0.7088679736919096,0.7230873277376155,0.9594865885140921,0.24399876596868741,0.5686891078948975
37,KNN k=5 | SBERT,0.7142204884501063,0.00516956457685641,0.7872695560361251,0.7874874944129814,0.7157899967347157,0.7132250407856867,0.8170863163220078,0.10286582787190146,2.2660369873046875
38,ComplementNB a=0.5 | TF-IDF 2g,0.7130422125354767,0.007743058847068592,0.783927751317391,0.7795244417648719,0.7004926363890955,0.7291684437668765,0.9141359908626872,0.20109377832721043,0.15499019622802734
39,LinearSVC C=1.0 | TF-IDF 2g,0.7103590807164688,0.0071692579037500835,0.7915574786472102,0.8069796824706538,0.8045252636525617,0.6654039742726392,0.986610915677765,0.27625183496129624,0.7962255477905273
40,LR C=10.0 | BoW,0.7090396677664057,0.005774111622688593,0.7832368197040559,0.7826670093005328,0.7072867613574062,0.7112439202571854,0.9957407563551207,0.286701088588715,0.7149941921234131
41,LR C=0.1 | BoW,0.7007845236504988,0.004619698144734107,0.7746989094320392,0.7692537719925368,0.6877516484890205,0.7186711929582319,0.8511743346586398,0.15038981100814097,0.35888099670410156
42,LinearSVC C=1.0 | TF-IDF char,0.7006145480033424,0.006214027989122961,0.7851129801563415,0.8024733333113696,0.8081506621783887,0.6535602721377304,0.9249212430402464,0.22430669503690392,2.8020005226135254
43,MultinomialNB a=1.0 | BoW,0.6934397445563023,0.007387791927202061,0.7754034694561012,0.7784758942798813,0.7031804507204028,0.6858357704782747,0.8470124278485045,0.1535726832922022,1.269876480102539
44,LR C=0.1 | TF-IDF 2g,0.6918900494172526,0.009340979592056547,0.7701365907116083,0.7686271473644097,0.6897374788072917,0.6962720594451135,0.8124870057145227,0.12059695629727007,0.3445291519165039
45,LR C=0.1 | TF-IDF char,0.6918078312124271,0.004888402556992494,0.7663654563042785,0.7622340606615688,0.6819474681848148,0.7049371952832068,0.7774260526492368,0.08561822143680975,0.8064963817596436
46,LinearSVC C=0.1 | TF-IDF char,0.6914330807119963,0.010838839937698685,0.7781004575821917,0.7939862265578584,0.775957250092252,0.6509026495087302,0.8084931966612814,0.11706011594928512,1.4699575901031494
47,LR C=0.1 | TF-IDF 1g,0.6833517697443933,0.007201268149684161,0.7609050589588934,0.7569951668857546,0.6754559068301174,0.6946861667880546,0.7739957926323944,0.09064402288800111,0.23414874076843262
48,ComplementNB a=0.5 | BoW,0.682604941995973,0.006057715799489713,0.7605925908015685,0.7547940188426663,0.6699680398116078,0.7011825537004481,0.8579655562173694,0.17536061422139637,0.033329010009765625
49,LinearSVC C=0.1 | TF-IDF 2g,0.6824291678045619,0.007374676255284849,0.7719490849271888,0.7893745614121788,0.7730627591998326,0.6401881859568168,0.851521940170939,0.1690927723663771,0.4486048221588135
50,ComplementNB a=0.5 | TF-IDF char,0.6817355813279504,0.010192172811582488,0.765877938818022,0.7670539966812836,0.6859086988267926,0.6802306907635419,0.8043347161083091,0.12259913478035867,0.20701956748962402
51,ComplementNB a=0.5 | TF-IDF 1g,0.6744306061107086,0.0089039357291185,0.7507061295194513,0.7431623678196516,0.6590269922504461,0.6981526187335794,0.8615173182530826,0.18708671214237405,0.04468035697937012
52,LinearSVC C=0.1 | TF-IDF 1g,0.6713983193381962,0.005151297757398884,0.763526026240728,0.7829825728948059,0.7726416379306589,0.6272586454453241,0.7938454494696674,0.12244713013147124,0.29588985443115234
53,LinearSVC C=1.0 | TF-IDF 1g,0.6581721004203276,0.008460473117123706,0.7559643617831441,0.7797341402800153,0.7868756399741943,0.6101144013631228,0.9008756351433105,0.2427035347229829,0.5693874359130859
54,LinearSVC C=0.1 | BoW,0.6503375345542916,0.012814426247134083,0.7515796892371965,0.7770093774057126,0.7847064530508352,0.6024738596776115,0.8320770184635407,0.1817394839092491,0.5699028968811035
55,LightGBM Tuned | W2V-SG,0.6423734969574518,0.008880754872308964,0.7531279453394665,0.768100787069525,0.6863663855575837,0.6193886408339322,0.9992735336257799,0.35690003666832804,23.599637746810913
56,LightGBM 300 | W2V-SG,0.6339344585618545,0.008015891514973044,0.7483263145661585,0.7614988803999152,0.666659776720227,0.6162583821641434,0.9992735336257799,0.3653390750639254,9.180228471755981
57,LightGBM 100 | W2V-SG,0.6315060629042517,0.009691022296755343,0.740593849043272,0.7425327780907607,0.6348489563070155,0.6291183207170589,0.9729022962763395,0.3413962333720878,3.783221483230591
58,XGBoost 300 | W2V-SG,0.6302141556373164,0.015963717634306002,0.746190046989419,0.7644329025151742,0.6833811805254977,0.6052819874695023,0.9992734015823513,0.3690592459450349,18.102428197860718
59,XGBoost 100 | W2V-SG,0.6251608527658152,0.014599429163183108,0.7428357724103012,0.7625468238828983,0.6837994059081588,0.5990865974398273,0.9992732825454759,0.37411242977966064,7.4722723960876465
60,"MLP (256,128) | W2V-SG",0.6204043890719902,0.004972029215685993,0.739346543175675,0.7525937493479524,0.6514479002738486,0.6048543654600124,0.7211862372701396,0.10078184819814939,6.91033148765564
61,"MLP (256,128) | GloVe-Twitter",0.6139154416879448,0.01004396284275132,0.7271526497696694,0.7523834468308015,0.703606510646359,0.5784702802875568,0.7120276643677396,0.0981122226797948,6.132810354232788
62,LightGBM 100 | GloVe-Twitter,0.6030450205628398,0.01090627712720426,0.7139555297769309,0.7232517161893405,0.6242440382610136,0.5891722515471401,0.8586368461672542,0.2555918256044144,2.164191722869873
