Model,F1-macro,F1-macro_std,F1-weighted,Accuracy,Precision-macro,Recall-macro,Train_F1-macro,Overfit_gap,Time_s
Stacking (LR meta) | 5 base learners,0.8268779150537092,0.008619769985196864,0.8659507012931128,0.8638787581279452,0.8122389626691129,0.8446904248093776,0.8286150816910214,0.0017371666373121597,3.0170300006866455
Soft-Average | 5 base learners,0.8264555818972568,0.0,0.8685637048464853,0.8712145027769045,0.8517308381938951,0.8057447596313327,,,0.0
"MLP (256,128) scaled | RoBERTa+SBERT",0.8208289174787421,0.010313286146240356,0.8629763440990796,0.8642984846138726,0.8323738601092188,0.8111077311442865,0.9829580161054865,0.1621290986267444,20.43045401573181
LightGBM Tuned | RoBERTa+SBERT+fin,0.8159847978597157,0.007968195927133522,0.8603624444928514,0.8624119667074094,0.8331201183134448,0.801508523591352,1.0,0.18401520214028433,268.23071670532227
LightGBM Tuned | RoBERTa+SBERT,0.8148553705319754,0.00894165293119761,0.8590640321084194,0.8612592014214913,0.8331104430098808,0.7995462013344652,1.0,0.18514462946802457,276.41976046562195
LR (scaled) | RoBERTa+SBERT+FinBERT,0.7780898765017527,0.0020826342569627678,0.8272138148233937,0.8258405786119596,0.7705421164816515,0.7866636548152036,0.999971588284916,0.2218817117831633,15.083723068237305
LR (scaled) | RoBERTa+SBERT+fin,0.7653958073368117,0.008452424820085451,0.8162230328928454,0.8145238322719373,0.7565392913308616,0.7756754390487183,0.9928923270725157,0.22749651973570406,14.984918117523193
LR (scaled) | RoBERTa+SBERT,0.7612381451671892,0.008659113074886773,0.812387674910811,0.8105415372180547,0.7517393915403876,0.7723759957201269,0.9924553769728126,0.23121723180562337,17.60870599746704
